Namespace(seed=1, model='CCNN')
{'model_name': 'CCNN', 'log_dir': 'log\\CCNN', 'ckpt_dir': 'checkpoint\\CCNN', 'device': device(type='cuda'), 'epochs': 20, 'batch_size': 32, 'embed_size': 128, 'window_size': 5, 'learning_rate': 0.01, 'iter': 5, 'workers': 3, 'sg': 1, 'hs': 1, 'min_count': 0}
======================Start Train Model [Thu Jan 18 17:24:38 2024]======================
Epoch: 1 | Epoch Time: 0m 10s
Train Loss: 0.14298003684257202 | Train Acc: 95.78643364928911%
Val. Loss: 0.08995760292724454 | Val. Acc: 100.0%
Epoch: 2 | Epoch Time: 0m 10s
Train Loss: 0.07894207558541316 | Train Acc: 97.76732819905213%
Val. Loss: 0.0756224026123125 | Val. Acc: 100.0%
Epoch: 3 | Epoch Time: 0m 10s
Train Loss: 0.06548421377594048 | Train Acc: 98.20608708530806%
Val. Loss: 0.07098392563521555 | Val. Acc: 93.75%
Epoch: 4 | Epoch Time: 0m 10s
Train Loss: 0.05652705033747698 | Train Acc: 98.4634182464455%
Val. Loss: 0.08231298977258493 | Val. Acc: 100.0%
Epoch: 5 | Epoch Time: 0m 11s
Train Loss: 0.0585084434424455 | Train Acc: 98.4634182464455%
Val. Loss: 0.06845019965352393 | Val. Acc: 100.0%
Epoch: 6 | Epoch Time: 0m 11s
Train Loss: 0.05099079209376563 | Train Acc: 98.67446682464454%
Val. Loss: 0.09396404500414386 | Val. Acc: 100.0%
Epoch: 7 | Epoch Time: 0m 11s
Train Loss: 0.059189984527568934 | Train Acc: 98.64854857819904%
Val. Loss: 0.11678863983312074 | Val. Acc: 93.75%
Epoch: 8 | Epoch Time: 0m 11s
Train Loss: 0.05212964837312777 | Train Acc: 98.81146327014217%
Val. Loss: 0.07351217136469847 | Val. Acc: 100.0%
Epoch: 9 | Epoch Time: 0m 11s
Train Loss: 0.04502392936950617 | Train Acc: 98.97252665876776%
Val. Loss: 0.07294496260519591 | Val. Acc: 100.0%
Epoch: 10 | Epoch Time: 0m 11s
Train Loss: 0.05158413916377961 | Train Acc: 98.84108412322274%
Val. Loss: 0.14377274588528666 | Val. Acc: 100.0%
Epoch: 11 | Epoch Time: 0m 11s
Train Loss: 0.05082513961641558 | Train Acc: 98.92439277251185%
Val. Loss: 0.10741608546449087 | Val. Acc: 100.0%
Epoch: 12 | Epoch Time: 0m 11s
Train Loss: 0.050174372891415166 | Train Acc: 98.98733708530806%
Val. Loss: 0.11025150361675444 | Val. Acc: 100.0%
Epoch: 13 | Epoch Time: 0m 11s
Train Loss: 0.04886159141787098 | Train Acc: 99.1039691943128%
Val. Loss: 0.16684213242786042 | Val. Acc: 100.0%
Epoch: 14 | Epoch Time: 0m 11s
Train Loss: 0.05755486868391984 | Train Acc: 98.97993187203792%
Val. Loss: 0.09452776473279481 | Val. Acc: 100.0%
Epoch: 15 | Epoch Time: 0m 10s
Train Loss: 0.04142602215282897 | Train Acc: 99.19098045023696%
Val. Loss: 0.12883680182725896 | Val. Acc: 93.75%
Epoch: 16 | Epoch Time: 0m 10s
Train Loss: 0.053637407053884575 | Train Acc: 99.05768661137441%
Val. Loss: 0.09696612794126173 | Val. Acc: 100.0%
Epoch: 17 | Epoch Time: 0m 11s
Train Loss: 0.0563055692057031 | Train Acc: 99.08915876777252%
Val. Loss: 0.16343727889860724 | Val. Acc: 87.5%
Epoch: 18 | Epoch Time: 0m 11s
Train Loss: 0.058222480880040374 | Train Acc: 99.06138921800948%
Val. Loss: 0.1753947048077189 | Val. Acc: 93.75%
Epoch: 19 | Epoch Time: 0m 10s
Train Loss: 0.05428221842144309 | Train Acc: 99.14654917061611%
Val. Loss: 0.2540475218718082 | Val. Acc: 100.0%
Epoch: 20 | Epoch Time: 0m 11s
Train Loss: 0.059402025014102335 | Train Acc: 99.14840047393365%
Val. Loss: 0.21721264471445267 | Val. Acc: 100.0%
Test Loss: 0.064 | Test Acc: 100.00%
Namespace(seed=1, model='CCNN')
{'model_name': 'CCNN', 'log_dir': 'log\\CCNN', 'ckpt_dir': 'checkpoint\\CCNN', 'device': device(type='cuda'), 'mode': 'raw', 'epochs': 20, 'batch_size': 32, 'learning_rate': 0.01, 'need_backdoor': False, 'ij_class': [0, 1], 'a2a_attack': False, 'p': 0.05, 'trigger_size': 1}
